Source,Target,TE_Discrete,TE_kNN,Bias_kNN,TE_kNN_Corrected
XOM,RRC,-2.3640134958772006,1.584286055039524,1.5056137473474784,0.07867230769204547
XOM,GPOR,-2.526575779945727,1.7733203278116003,1.5056137473474784,0.2677065804641219
XOM,CPE,-2.373616726230142,1.7481025701279436,1.5056137473474784,0.24248882278046513
XOM,SBOW,-2.5146491222020417,1.6992843774212103,1.5056137473474784,0.19367063007373186
XOM,REI,-2.357168323158721,1.718214180363593,1.5056137473474784,0.21260043301611464
XOM,TPL,-2.3207106412846663,1.72368220169504,1.5056137473474784,0.2180684543475615
XOM,OVV,-2.3972011683952337,1.817629701198797,1.5056137473474784,0.31201595385131853
XOM,WES,-2.159924600554901,1.389022379813372,1.5056137473474784,-0.11659136753410637
XOM,PAA,-2.299990987729056,1.5613997248614746,1.5056137473474784,0.055785977513996166
XOM,HESM,-2.019525066966993,1.5736186521670716,1.5056137473474784,0.0680049048195932
XOM,ENLC,-2.1774706817982454,1.5734651678474325,1.5056137473474784,0.06785142049995407
XOM,ETRN,-2.1716586522323977,1.570350429681161,1.5056137473474784,0.06473668233368257
XOM,AM,-2.31836661813168,1.4362883010808352,1.5056137473474784,-0.06932544626664328
CVX,COP,-2.2862135541920225,2.1906973235717997,1.5066082479785083,0.6840890755932914
CVX,SLB,-2.27802958517475,1.993945740150148,1.5066082479785083,0.4873374921716396
CVX,EOG,-2.387783987809681,2.0645927662663337,1.5066082479785083,0.5579845182878254
CVX,MPC,-2.4086026396941387,1.7702656008660775,1.5066117737256202,0.2636538271404574
CVX,PSX,-2.4565025864666046,1.9008378802787405,1.5066117737256202,0.3942261065531203
CVX,VLO,-2.460287911256623,1.8843173310172037,1.5066117737256202,0.3777055572915835
CVX,WMB,-2.3564323758857793,1.8001887856838965,1.5066117737256202,0.29357701195827635
CVX,BKR,-2.415698416891374,1.9365824602620825,1.5066117737256202,0.4299706865364623
CVX,OXY,-2.0498508016085424,1.8760356070370614,1.5066117737256202,0.36942383331144124
CVX,HES,-2.4570828454017097,2.068116617642648,1.5066117737256202,0.5615048439170278
CVX,HAL,-2.4265547383686883,2.0552277956171143,1.5066117737256202,0.5486160218914942
CVX,KMI,-2.4374619338302703,1.887364158442731,1.5066117737256202,0.3807523847171108
CVX,MRO,-2.303407971729084,2.064008561101362,1.5066117737256202,0.5573967873757419
CVX,PXD,-2.231103424293048,1.9148424089281588,1.5066117737256202,0.40823063520253866
CVX,APA,-2.280787607939704,1.9142025482158505,1.5066117737256202,0.4075907744902303
CVX,DVN,-2.120601570052075,1.9350910824468628,1.5066117737256202,0.4284793087212426
CVX,FANG,-2.381493978621463,1.840128541866798,1.5066117737256202,0.3335167681411779
CVX,FTI,-2.377245383314798,1.8285167886876674,1.5066117737256202,0.32190501496204726
CVX,NOV,-2.28361440922656,1.880576796257498,1.5066117737256202,0.3739650225318778
CVX,MUR,-2.2992612848000045,1.8705921192198516,1.5066117737256202,0.3639803454942314
CVX,OKE,-2.302954855390507,1.7369705579071049,1.5066117737256202,0.2303587841814847
CVX,HP,-2.2088469526563266,1.8617204828367584,1.5066117737256202,0.35510870911113823
CVX,NBR,-2.1253640211476754,1.686441915962801,1.5066117737256202,0.17983014223718086
CVX,MTDR,-2.391090443972767,1.794775317307761,1.5066117737256202,0.2881635435821408
CVX,RIG,-2.389438847807896,1.726451315265549,1.5066117737256202,0.2198395415399288
CVX,SWN,-2.4478642262100294,1.6903193549105107,1.5066117737256202,0.1837075811848905
