,date,ticker,marketcap
50648,2022-12-22,TPL,18952.9
50649,2022-12-21,TPL,20031.6
50650,2022-12-20,TPL,19447.4
50651,2022-12-19,TPL,19067.6
50652,2022-12-16,TPL,19392.1
50653,2022-12-15,TPL,20396.7
50654,2022-12-14,TPL,19970.5
50655,2022-12-13,TPL,19825.1
50656,2022-12-12,TPL,19389.3
50657,2022-12-09,TPL,18337.3
50658,2022-12-08,TPL,18588.4
50659,2022-12-07,TPL,18782.1
50660,2022-12-06,TPL,19051.1
50661,2022-12-05,TPL,19554.0
50662,2022-12-02,TPL,20036.4
50663,2022-12-01,TPL,19710.4
50664,2022-11-30,TPL,19974.2
50665,2022-11-29,TPL,19310.4
50666,2022-11-28,TPL,19293.8
50667,2022-11-25,TPL,20056.6
50668,2022-11-23,TPL,19852.9
50669,2022-11-22,TPL,20315.3
50670,2022-11-21,TPL,19471.9
50671,2022-11-18,TPL,20832.1
50672,2022-11-17,TPL,20390.6
50673,2022-11-16,TPL,20232.5
50674,2022-11-15,TPL,20801.4
50675,2022-11-14,TPL,20338.6
50676,2022-11-11,TPL,20617.1
50677,2022-11-10,TPL,20693.1
50678,2022-11-09,TPL,20121.4
50679,2022-11-08,TPL,20745.1
50680,2022-11-07,TPL,20918.2
50681,2022-11-04,TPL,19769.7
50682,2022-11-03,TPL,18454.1
50683,2022-11-02,TPL,17944.1
50684,2022-11-01,TPL,18087.5
50685,2022-10-31,TPL,17791.3
50686,2022-10-28,TPL,17909.1
50687,2022-10-27,TPL,17213.2
50688,2022-10-26,TPL,16616.2
50689,2022-10-25,TPL,15961.5
50690,2022-10-24,TPL,16760.3
50691,2022-10-21,TPL,16510.1
50692,2022-10-20,TPL,15831.2
50693,2022-10-19,TPL,16161.6
50694,2022-10-18,TPL,15831.0
50695,2022-10-17,TPL,15797.1
50696,2022-10-14,TPL,15481.3
50697,2022-10-13,TPL,16201.1
50698,2022-10-12,TPL,15872.3
50699,2022-10-11,TPL,15883.0
50700,2022-10-10,TPL,15455.4
50701,2022-10-07,TPL,15301.0
50702,2022-10-06,TPL,15634.2
50703,2022-10-05,TPL,15548.8
50704,2022-10-04,TPL,15213.0
50705,2022-10-03,TPL,14409.9
50706,2022-09-30,TPL,13724.4
50707,2022-09-29,TPL,13728.1
50708,2022-09-28,TPL,13641.7
50709,2022-09-27,TPL,13018.8
50710,2022-09-26,TPL,12563.1
50711,2022-09-23,TPL,12666.2
50712,2022-09-22,TPL,13743.3
50713,2022-09-21,TPL,13697.9
50714,2022-09-20,TPL,14043.1
50715,2022-09-19,TPL,14026.8
50716,2022-09-16,TPL,13692.5
50717,2022-09-15,TPL,13646.5
50718,2022-09-14,TPL,14350.6
50719,2022-09-13,TPL,13524.3
50720,2022-09-12,TPL,14110.0
50721,2022-09-09,TPL,14076.3
50722,2022-09-08,TPL,13957.3
50723,2022-09-07,TPL,14166.6
50724,2022-09-06,TPL,14357.4
50725,2022-09-02,TPL,14579.9
50726,2022-09-01,TPL,13821.0
50727,2022-08-31,TPL,14212.7
50728,2022-08-30,TPL,13257.8
50729,2022-08-29,TPL,14304.1
50730,2022-08-26,TPL,14165.0
50731,2022-08-25,TPL,13796.1
50732,2022-08-24,TPL,14010.9
50733,2022-08-23,TPL,13686.4
50734,2022-08-22,TPL,13433.1
50735,2022-08-19,TPL,13287.6
50736,2022-08-18,TPL,13826.4
50737,2022-08-17,TPL,13321.1
50738,2022-08-16,TPL,12810.3
50739,2022-08-15,TPL,13030.0
50740,2022-08-12,TPL,12946.1
50741,2022-08-11,TPL,13472.4
50742,2022-08-10,TPL,13361.6
50743,2022-08-09,TPL,13213.0
50744,2022-08-08,TPL,13212.5
50745,2022-08-05,TPL,12794.6
50746,2022-08-04,TPL,12676.7
50747,2022-08-03,TPL,13664.0
50748,2022-08-02,TPL,14107.5
50749,2022-08-01,TPL,14104.9
50750,2022-07-29,TPL,14197.2
50751,2022-07-28,TPL,14171.1
50752,2022-07-27,TPL,14159.0
50753,2022-07-26,TPL,13728.9
50754,2022-07-25,TPL,13702.3
50755,2022-07-22,TPL,13315.8
50756,2022-07-21,TPL,13581.6
50757,2022-07-20,TPL,14027.5
50758,2022-07-19,TPL,13433.4
50759,2022-07-18,TPL,13103.4
50760,2022-07-15,TPL,12902.9
50761,2022-07-14,TPL,12773.8
50762,2022-07-13,TPL,12381.9
50763,2022-07-12,TPL,11988.0
50764,2022-07-11,TPL,11976.4
50765,2022-07-08,TPL,11940.4
50766,2022-07-07,TPL,11862.2
50767,2022-07-06,TPL,11190.8
50768,2022-07-05,TPL,11367.6
50769,2022-07-01,TPL,11821.4
50770,2022-06-30,TPL,11519.8
50771,2022-06-29,TPL,11657.4
50772,2022-06-28,TPL,12640.2
50773,2022-06-27,TPL,11911.7
50774,2022-06-24,TPL,11767.1
50775,2022-06-23,TPL,11288.4
50776,2022-06-22,TPL,11279.8
50777,2022-06-21,TPL,11942.1
50778,2022-06-17,TPL,11273.3
50779,2022-06-16,TPL,12015.6
50780,2022-06-15,TPL,12572.6
50781,2022-06-14,TPL,12667.9
50782,2022-06-13,TPL,12413.8
50783,2022-06-10,TPL,13260.9
50784,2022-06-09,TPL,13311.5
50785,2022-06-08,TPL,13314.7
50786,2022-06-07,TPL,13518.8
50787,2022-06-06,TPL,13019.8
50788,2022-06-03,TPL,12989.5
50789,2022-06-02,TPL,12639.7
50790,2022-06-01,TPL,12370.0
50791,2022-05-31,TPL,12123.5
50792,2022-05-27,TPL,12185.6
50793,2022-05-26,TPL,11821.2
50794,2022-05-25,TPL,11510.7
50795,2022-05-24,TPL,11044.9
50796,2022-05-23,TPL,10888.9
50797,2022-05-20,TPL,10624.0
50798,2022-05-19,TPL,10501.5
50799,2022-05-18,TPL,10484.1
50800,2022-05-17,TPL,10830.0
50801,2022-05-16,TPL,10600.9
50802,2022-05-13,TPL,10466.3
50803,2022-05-12,TPL,10030.9
50804,2022-05-11,TPL,9875.9
50805,2022-05-10,TPL,10187.4
50806,2022-05-09,TPL,10040.9
50807,2022-05-06,TPL,11023.0
50808,2022-05-05,TPL,10870.5
50809,2022-05-04,TPL,11031.3
50810,2022-05-03,TPL,10689.7
50811,2022-05-02,TPL,10514.5
50812,2022-04-29,TPL,10584.8
50813,2022-04-28,TPL,10657.5
50814,2022-04-27,TPL,10321.7
50815,2022-04-26,TPL,10333.6
50816,2022-04-25,TPL,10623.2
50817,2022-04-22,TPL,10675.7
50818,2022-04-21,TPL,11097.3
50819,2022-04-20,TPL,11666.8
50820,2022-04-19,TPL,11451.5
50821,2022-04-18,TPL,11531.4
50822,2022-04-14,TPL,11325.7
50823,2022-04-13,TPL,11297.0
50824,2022-04-12,TPL,10894.4
50825,2022-04-11,TPL,10772.5
50826,2022-04-08,TPL,11047.2
50827,2022-04-07,TPL,11081.8
50828,2022-04-06,TPL,10950.0
50829,2022-04-05,TPL,10980.9
50830,2022-04-04,TPL,11457.7
50831,2022-04-01,TPL,11009.0
50832,2022-03-31,TPL,10472.6
50833,2022-03-30,TPL,11233.5
50834,2022-03-29,TPL,11083.4
50835,2022-03-28,TPL,10858.2
50836,2022-03-25,TPL,11265.6
50837,2022-03-24,TPL,10935.8
50838,2022-03-23,TPL,10998.5
50839,2022-03-22,TPL,10762.6
50840,2022-03-21,TPL,10810.5
50841,2022-03-18,TPL,10444.3
50842,2022-03-17,TPL,10498.9
50843,2022-03-16,TPL,9872.8
50844,2022-03-15,TPL,9629.0
50845,2022-03-14,TPL,9945.8
50846,2022-03-11,TPL,10193.8
50847,2022-03-10,TPL,10016.4
50848,2022-03-09,TPL,9960.3
50849,2022-03-08,TPL,9956.1
50850,2022-03-07,TPL,9966.5
50851,2022-03-04,TPL,10062.4
50852,2022-03-03,TPL,9505.5
50853,2022-03-02,TPL,9625.6
50854,2022-03-01,TPL,9338.5
50855,2022-02-28,TPL,9207.2
50856,2022-02-25,TPL,8255.8
50857,2022-02-24,TPL,8506.7
50858,2022-02-23,TPL,7839.1
50859,2022-02-22,TPL,7740.3
50860,2022-02-18,TPL,7790.1
50861,2022-02-17,TPL,7783.2
50862,2022-02-16,TPL,7904.0
50863,2022-02-15,TPL,8010.7
50864,2022-02-14,TPL,8211.0
50865,2022-02-11,TPL,8563.0
50866,2022-02-10,TPL,8336.3
50867,2022-02-09,TPL,8264.5
50868,2022-02-08,TPL,8237.8
50869,2022-02-07,TPL,8337.5
50870,2022-02-04,TPL,8465.2
50871,2022-02-03,TPL,8445.7
50872,2022-02-02,TPL,8632.3
50873,2022-02-01,TPL,8693.2
50874,2022-01-31,TPL,8327.1
50875,2022-01-28,TPL,8016.0
50876,2022-01-27,TPL,7806.2
50877,2022-01-26,TPL,7931.4
50878,2022-01-25,TPL,8090.5
50879,2022-01-24,TPL,8050.3
50880,2022-01-21,TPL,7772.1
50881,2022-01-20,TPL,7829.5
50882,2022-01-19,TPL,8206.7
50883,2022-01-18,TPL,8268.2
50884,2022-01-14,TPL,8611.9
50885,2022-01-13,TPL,8736.7
50886,2022-01-12,TPL,9481.0
50887,2022-01-11,TPL,9462.7
50888,2022-01-10,TPL,9396.6
50889,2022-01-07,TPL,9760.9
50890,2022-01-06,TPL,9743.9
50891,2022-01-05,TPL,9737.6
50892,2022-01-04,TPL,10015.5
50893,2022-01-03,TPL,9869.7
50894,2021-12-31,TPL,9673.9
50895,2021-12-30,TPL,9651.5
50896,2021-12-29,TPL,9696.2
50897,2021-12-28,TPL,9785.0
50898,2021-12-27,TPL,9942.8
50899,2021-12-23,TPL,9601.9
50900,2021-12-22,TPL,9526.2
50901,2021-12-21,TPL,9770.7
50902,2021-12-20,TPL,9372.4
50903,2021-12-17,TPL,9347.5
50904,2021-12-16,TPL,9562.6
50905,2021-12-15,TPL,9576.9
50906,2021-12-14,TPL,9536.1
50907,2021-12-13,TPL,9647.7
50908,2021-12-10,TPL,9821.8
50909,2021-12-09,TPL,9809.2
50910,2021-12-08,TPL,9978.3
50911,2021-12-07,TPL,10261.2
50912,2021-12-06,TPL,9788.1
50913,2021-12-03,TPL,9339.2
50914,2021-12-02,TPL,9446.2
50915,2021-12-01,TPL,9144.2
50916,2021-11-30,TPL,9363.3
50917,2021-11-29,TPL,9783.5
50918,2021-11-26,TPL,9628.4
50919,2021-11-24,TPL,10127.9
50920,2021-11-23,TPL,10054.0
50921,2021-11-22,TPL,9712.1
50922,2021-11-19,TPL,9651.0
50923,2021-11-18,TPL,9918.4
50924,2021-11-17,TPL,9744.8
50925,2021-11-16,TPL,10041.6
50926,2021-11-15,TPL,10032.3
50927,2021-11-12,TPL,10043.1
50928,2021-11-11,TPL,10379.9
